SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,21614 6th Ave S,Normandy Park,WA,98198,449000,2,1.75,Normandy Park,1340,7250,1949,3,335,,Active,,,http://www.redfin.com/WA/Normandy-Park/21614-6th-Ave-S-98198/home/345124,NWMLS,1520706,N,Y,47.4079817,-122.327409
MLS Listing,,Single Family Residential,9428 NE Viewcrest Ave,Bainbridge Island,WA,98110,449000,3,1.75,Bainbridge,1568,15682,1968,4,286,,Active,September-28-2019 02:00 PM,September-28-2019 04:00 PM,http://www.redfin.com/WA/Bainbridge-Island/9428-NE-Viewcrest-Ave-98110/home/2352365,NWMLS,1521143,N,Y,47.6735991,-122.5232357
MLS Listing,,Townhouse,6340 34th Ave SW Unit B,Seattle,WA,98126,499000,3,1.5,Gatewood,1440,1399,2007,4,347,,Active,,,http://www.redfin.com/WA/Seattle/6340-34th-Ave-SW-98126/unit-B/home/12318978,NWMLS,1520453,N,Y,47.5453747,-122.3747977
MLS Listing,,Condo/Co-op,12904 126th Ct NE Unit J104,Kirkland,WA,98034,345000,2,1.75,Totem Lake,1066,320860,1980,4,324,415,Active,,,http://www.redfin.com/WA/Kirkland/12904-126th-Ct-NE-98034/unit-J104/home/59159,NWMLS,1517291,N,Y,47.7162292,-122.1718042
MLS Listing,,Single Family Residential,15150 140th Way SE Unit K103,Renton,WA,98058,309950,2,2.5,Maplewood,1447,1,2000,9,214,642,Active,,,http://www.redfin.com/WA/Renton/15150-140th-Way-SE-98058/unit-K103/home/62784,NWMLS,1519321,N,Y,47.4672569,-122.1538619
MLS Listing,,Townhouse,23120 SE Black Nugget Rd Unit A4,Issaquah,WA,98029,490000,2,1.75,Issaquah,1060,185577,2003,9,462,344,Active,,,http://www.redfin.com/WA/Issaquah/23120-SE-Black-Nugget-Rd-98029/unit-A4/home/27206,NWMLS,1519308,N,Y,47.5488496,-122.0310155
MLS Listing,,Single Family Residential,617 Prospect Ave N,Kent,WA,98030,429950,3,2.5,Downtown Kent,2064,4895,1940,9,208,,Active,,,http://www.redfin.com/WA/Kent/617-Prospect-Ave-N-98030/home/396714,NWMLS,1518083,N,Y,47.3865105,-122.2247446
MLS Listing,,Condo/Co-op,1026 NE 65th St Unit A309,Seattle,WA,98115,374000,0,1.0,Roosevelt,535,18490,2005,9,699,324,Active,,,http://www.redfin.com/WA/Seattle/1026-NE-45th-St-98105/unit-A309/home/2117407,NWMLS,1517328,N,Y,47.676169,-122.316436
MLS Listing,,Condo/Co-op,1600 149th Pl SE #3,Bellevue,WA,98007,449950,3,1.75,Bellevue,1124,107910,1968,9,400,447,Active,,,http://www.redfin.com/WA/Bellevue/1600-149th-Pl-SE-98007/unit-3/home/11468,NWMLS,1517116,N,Y,47.5957927,-122.1406843
MLS Listing,,Townhouse,6356 138th Ave NE #215,Redmond,WA,98052,379000,2,1.5,Redmond,1114,286129,1969,9,340,508,Active,,,http://www.redfin.com/WA/Redmond/6356-138th-Ave-NE-98052/unit-215/home/28447158,NWMLS,1517740,N,Y,47.6632609,-122.1571095
MLS Listing,,Single Family Residential,1730 SE Mullenix Rd,Port Orchard,WA,98367,499950,2,2.75,Port Orchard,2536,79716,1997,9,197,,Active,,,http://www.redfin.com/WA/Port-Orchard/1730-SE-Mullenix-Rd-98367/home/2253615,NWMLS,1518938,N,Y,47.46841,-122.6299281
MLS Listing,,Townhouse,2801 NE 195th St #14,Lake Forest Park,WA,98155,410000,3,2.25,Lake Forest Park,1627,84105,1986,9,252,473,Active,,,http://www.redfin.com/WA/Lake-Forest-Park/2801-NE-195th-St-98155/unit-14/home/62771,NWMLS,1517256,N,Y,47.7689938,-122.2990922
MLS Listing,,Single Family Residential,18923 127th Pl SE,Renton,WA,98058,464950,4,2.5,Renton,2050,8750,1967,10,227,,Active,,,http://www.redfin.com/WA/Renton/18923-127th-Pl-SE-98058/home/388729,NWMLS,1517165,N,Y,47.432425,-122.1711361
MLS Listing,,Condo/Co-op,1525 NW 57th St #322,Seattle,WA,98107,450000,1,1.0,Ballard,864,39805,2000,10,521,411,Active,,,http://www.redfin.com/WA/Seattle/1525-NW-57th-St-98107/unit-322/home/27359,NWMLS,1517266,N,Y,47.6699799,-122.3773178
MLS Listing,,Condo/Co-op,762 Hayes St #31,Seattle,WA,98109,465000,2,1.0,Westlake,911,22000,1977,10,510,396,Active,,,http://www.redfin.com/WA/Seattle/762-Hayes-St-98109/unit-31/home/103951529,NWMLS,1516930,N,Y,47.6340588,-122.3414064
MLS Listing,,Condo/Co-op,566 Prospect St #110,Seattle,WA,98109,474000,2,1.0,Queen Anne,717,15375,1989,12,661,350,Active,,,http://www.redfin.com/WA/Seattle/566-Prospect-St-98109/unit-110/home/2079419,NWMLS,1516474,N,Y,47.6291787,-122.345326
MLS Listing,,Condo/Co-op,2712 151st Pl SW Unit X102,Lynnwood,WA,98087,320000,3,2.5,Lynnwood,1220,120727,1999,12,262,316,Active,,,http://www.redfin.com/WA/Lynnwood/2712-151st-Pl-SW-98087/unit-X102/home/2870333,NWMLS,1516449,N,Y,47.8611246,-122.2734628
MLS Listing,,Condo/Co-op,1550 Eastlake Ave E #206,Seattle,WA,98102,449000,1,1.0,South Lake Union,699,10655,1997,16,642,330,Active,,,http://www.redfin.com/WA/Seattle/1550-Eastlake-Ave-E-98102/unit-206/home/2070426,NWMLS,1515390,N,Y,47.6336263,-122.3252674
MLS Listing,,Condo/Co-op,17105 127th Pl NE,Woodinville,WA,98072,349900,2,2.0,Downtown Woodinville,934,249550,1984,16,375,235,Active,,,http://www.redfin.com/WA/Woodinville/17105-127th-Pl-NE-98072/home/16003,NWMLS,1515487,N,Y,47.7524336,-122.1710473
MLS Listing,,Townhouse,2115 201st Pl SE Unit D5,Bothell,WA,98012,445000,3,2.75,Thrashers Corner,1743,1743,2007,16,255,171,Active,,,http://www.redfin.com/WA/Bothell/2115-201st-Pl-SE-98012/unit-D5/home/21500264,NWMLS,1515865,N,Y,47.8165122,-122.2049606
MLS Listing,,Condo/Co-op,725 9th Ave S #305,Kirkland,WA,98033,405000,2,1.0,Kirkland,870,42294,1976,16,466,319,Active,,,http://www.redfin.com/WA/Kirkland/725-9th-Ave-S-98033/unit-305/home/109395635,NWMLS,1515370,N,Y,47.6676884,-122.1939803
MLS Listing,,Condo/Co-op,7000 Cleopatra Pl NW #206,Seattle,WA,98117,349000,1,1.0,Phinney Ridge,673,7350,1989,16,519,307,Active,,,http://www.redfin.com/WA/Seattle/7000-Cleopatra-Pl-NW-98117/unit-206/home/12537243,NWMLS,1515314,N,Y,47.6797271,-122.3652213
MLS Listing,,Townhouse,18886 108th Ln SE,Renton,WA,98005,389888,3,2.25,Renton,1550,1517,2005,16,252,271,Active,,,http://www.redfin.com/WA/Renton/18886-108th-Ln-SE-98055/home/2089700,NWMLS,1514119,N,Y,47.43333,-122.194581
MLS Listing,,Condo/Co-op,15110 NE 81st Way #103,Redmond,WA,98052,342156,2,1.0,Rose Hill,754,156656,2008,16,454,164,Active,,,http://www.redfin.com/WA/Redmond/15110-NE-81st-Way-98052/unit-103/home/28623895,NWMLS,1514692,N,Y,47.6756611,-122.1378623
MLS Listing,,Condo/Co-op,1700 Bellevue Ave #302,Seattle,WA,98122,478900,1,1.0,Broadway,722,5279,1988,17,663,484,Active,,,http://www.redfin.com/WA/Seattle/1700-Bellevue-Ave-98122/unit-302/home/2074704,NWMLS,1514080,N,Y,47.6165093,-122.3264916
MLS Listing,,Condo/Co-op,24316 223rd Pl SE #147,Maple Valley,WA,98038,424950,3,2.0,Lake Wilderness,2280,,1998,17,186,91,Active,,,http://www.redfin.com/WA/Maple-Valley/24316-223rd-Pl-SE-98038/unit-147/home/20950,NWMLS,1514743,N,Y,47.3853985,-122.0446863
MLS Listing,,Condo/Co-op,9520 1st Ave NE Unit A302,Seattle,WA,98115,374999,2,2.0,Seattle,847,17583,1995,19,443,325,Active,,,http://www.redfin.com/WA/Seattle/9520-1st-Ave-NE-98115/unit-A302/home/144393824,NWMLS,1513427,N,Y,47.6983244,-122.3281612
MLS Listing,,Condo/Co-op,13306 SE 272nd St Unit H202,Kent,WA,98042,235000,2,1.0,Lake Meridian,943,164906,1995,19,249,274,Active,,,http://www.redfin.com/WA/Kent/13306-SE-272nd-St-98042/unit-H202/home/27867,NWMLS,1513792,N,Y,47.3588334,-122.1635921
MLS Listing,,Single Family Residential,20813 63rd Ave W,Lynnwood,WA,98036,425000,3,1.75,Seattle Heights,1032,6098,1954,23,412,,Active,,,http://www.redfin.com/WA/Lynnwood/20813-63rd-Ave-W-98036/home/2658467,NWMLS,1508310,N,Y,47.8100238,-122.3176027
MLS Listing,,Townhouse,2416 SW Holden St Unit B,Seattle,WA,98106,499950,4,2.0,Delridge,1840,1562,2004,24,272,,Active,,,http://www.redfin.com/WA/Seattle/2416-SW-Holden-St-98106/unit-B/home/104468620,NWMLS,1511775,N,Y,47.534251,-122.36409
MLS Listing,,Townhouse,22906 Edmonds Way #16,Edmonds,WA,98020,279950,2,1.0,Edmonds,887,48719,1984,30,316,400,Active,,,http://www.redfin.com/WA/Edmonds/22906-Edmonds-Way-98020/unit-16/home/2791227,NWMLS,1509589,N,Y,47.7908692,-122.3582376
MLS Listing,,Townhouse,13721 Greenwood Ave N Unit B,Seattle,WA,98133,469950,2,2.5,Broadview,1270,949,2008,30,370,,Active,,,http://www.redfin.com/WA/Seattle/13721-Greenwood-Ave-N-98133/unit-B/home/21883741,NWMLS,1508260,N,Y,47.72929,-122.356107
MLS Listing,,Condo/Co-op,1535 NW 52nd St #101,Seattle,WA,98107,309000,1,1.0,Ballard,490,5000,1994,31,631,192,Active,,,http://www.redfin.com/WA/Seattle/1535-NW-52nd-St-98107/unit-101/home/2089321,NWMLS,1508836,N,Y,47.6662088,-122.3778408
MLS Listing,,Single Family Residential,226 154th St SW,Lynnwood,WA,98087,450000,4,1.75,Martha Lake,1832,8712,1982,32,246,,Active,,,http://www.redfin.com/WA/Lynnwood/226-154th-St-SW-98087/home/2709251,NWMLS,1507790,N,Y,47.8581301,-122.2370133
MLS Listing,,Single Family Residential,12709 SE 229th Ct,Kent,WA,98031,499950,3,2.5,Kent,2410,8074,1997,36,207,10,Active,,,http://www.redfin.com/WA/Kent/12709-SE-229th-Ct-98031/home/223790,NWMLS,1506858,N,Y,47.397786278,-122.1710602
MLS Listing,,Townhouse,23208 63rd Pl S Unit 28-3,Kent,WA,98032,314990,2,2.5,Kent,1148,,1998,38,274,340,Active,,,http://www.redfin.com/WA/Kent/23208-63rd-Pl-S-98032/unit-28-3/home/168668413,NWMLS,1504856,N,Y,47.3937499,-122.2554532
MLS Listing,,Condo/Co-op,408 Bellevue Ave E #102,Seattle,WA,98102,385000,1,1.0,Capitol Hill,700,,1929,38,550,710,Active,,,http://www.redfin.com/WA/Seattle/408-Bellevue-Ave-E-98102/unit-102/home/145542218,NWMLS,1505941,N,Y,47.6223371,-122.3262355
MLS Listing,,Condo/Co-op,8816 Nesbit Ave N #302,Seattle,WA,98103,250000,1,1.0,Green Lake,494,7688,1988,38,506,286,Active,,,http://www.redfin.com/WA/Seattle/8816-Nesbit-Ave-N-98103/unit-302/home/12538021,NWMLS,1504365,N,Y,47.6928807,-122.3431482
MLS Listing,,Townhouse,9541 Interlake Ave N Unit C,Seattle,WA,98103,389900,2,1.5,Green Lake,741,1085,2006,44,526,,Active,,,http://www.redfin.com/WA/Seattle/9541-Interlake-Ave-N-98103/unit-C/home/2059900,NWMLS,1503305,N,Y,47.6990269,-122.3410261
MLS Listing,,Condo/Co-op,22997 Marine View Dr S Unit D102,Des Moines,WA,98198,268000,2,1.0,Zenith,793,194079,1969,45,338,374,Active,,,http://www.redfin.com/WA/Des-Moines/22997-Marine-View-Dr-S-98198/unit-D102/home/28443,NWMLS,1502415,N,Y,47.3957636,-122.3240228
MLS Listing,,Condo/Co-op,321 10th Ave S #508,Seattle,WA,98104,425000,1,1.0,First Hill,764,19180,2000,51,556,340,Active,,,http://www.redfin.com/WA/Seattle/321-10th-Ave-S-98104/unit-508/home/30577,NWMLS,1499919,N,Y,47.5994192,-122.3197974
MLS Listing,,Townhouse,15114 13th Park W #26,Lynnwood,WA,98087,499950,3,2.25,Lynnwood,1790,864,2015,52,279,80,Active,,,http://www.redfin.com/WA/Lynnwood/15114-13th-Park-W-98087/unit-26/home/105199342,NWMLS,1499760,N,Y,47.8601814,-122.251905
MLS Listing,,Condo/Co-op,3901 Fremont Ave N Unit A106,Seattle,WA,98103,408000,1,0.75,Fremont,613,12000,1990,52,666,280,Active,,,http://www.redfin.com/WA/Seattle/3901-Fremont-Ave-N-98103/unit-A-106/home/65682,NWMLS,1498471,N,Y,47.6543861,-122.350352
MLS Listing,,Condo/Co-op,1113 Kirkland Ave #6,Kirkland,WA,98033,449950,2,1.0,Kirkland,800,25812,1969,52,562,220,Active,,,http://www.redfin.com/WA/Kirkland/1113-Kirkland-Ave-98033/unit-6/home/144391363,NWMLS,1491645,N,Y,47.6749114,-122.189525
MLS Listing,,Condo/Co-op,3500 E Lake Sammamish Pkwy SE Unit 3-303,Sammamish,WA,98075,409950,2,1.0,Sammamish,890,1079813,2000,52,461,317,Active,,,http://www.redfin.com/WA/Sammamish/3500-E-Lake-Sammamish-Pkwy-SE-98075/unit-3-303/home/18614401,NWMLS,1498322,N,Y,47.5784934,-122.0739628
MLS Listing,,Condo/Co-op,1707 NW 59th St #201,Seattle,WA,98107,475000,2,1.75,Ballard,838,5000,1996,53,567,631,Active,,,http://www.redfin.com/WA/Seattle/1707-NW-59th-St-98107/unit-201/home/18543,NWMLS,1497821,N,Y,47.6714056,-122.3793206
MLS Listing,,Condo/Co-op,12621 SE 41st Pl Unit G101,Bellevue,WA,98006,409000,2,1.0,Bellevue,882,165106,1986,60,464,260,Active,,,http://www.redfin.com/WA/Bellevue/12621-SE-41st-Pl-98006/unit-G101/home/2087493,NWMLS,1494209,N,Y,47.571862,-122.171685
MLS Listing,,Townhouse,1540 Cherrylane Ave S,Seattle,WA,98144,480000,3,2.0,Seattle,1264,154520,1997,65,380,409,Active,,,http://www.redfin.com/WA/Seattle/1540-Cherrylane-Ave-S-98144/home/61017,NWMLS,1491391,N,Y,47.5892159,-122.3122752
MLS Listing,,Condo/Co-op,17827 80th Ave NE Unit B102,Kenmore,WA,98028,374999,3,2.0,Kenmore,1346,64646,1998,66,279,415,Active,,,http://www.redfin.com/WA/Kenmore/17827-80th-Ave-NE-98028/unit-B102/home/16523,NWMLS,1492893,N,Y,47.7579027,-122.2348492
MLS Listing,,Townhouse,7121 NE 175th St #101,Kenmore,WA,98028,489950,3,2.5,Kenmore,1700,18299,2005,66,288,306,Active,,,http://www.redfin.com/WA/Kenmore/7121-NE-175th-St-98028/unit-101/home/2078589,NWMLS,1492247,N,Y,47.75644,-122.244955
MLS Listing,,Condo/Co-op,401 9th Ave N #503,Seattle,WA,98109,479900,1,1.0,South Lake Union,620,21224,2009,72,774,423,Active,,,http://www.redfin.com/WA/Seattle/401-9th-Ave-N-98109/unit-503/home/21616801,NWMLS,1484430,N,Y,47.6223874,-122.3401325
MLS Listing,,Condo/Co-op,13820 NE 65th St #538,Redmond,WA,98052,420000,2,2.0,Redmond,1123,433288,1972,72,374,561,Active,,,http://www.redfin.com/WA/Redmond/13820-NE-65th-St-98052/unit-538/home/6270,NWMLS,1488546,N,Y,47.665407,-122.15514
MLS Listing,,Condo/Co-op,12328 31st Ave NE #105,Seattle,WA,98125,429950,1,1.5,Victory Heights,1214,10781,2004,74,354,700,Active,,,http://www.redfin.com/WA/Seattle/12328-31st-Ave-NE-98125/unit-105/home/2063697,NWMLS,1487531,N,Y,47.7182571,-122.2948051
